ngay,so_luong_A1,so_luong_A2,so_luong_A3,so_luong_A4,so_luong_A5,gia_A1,gia_A2,gia_A3,gia_A4,gia_A5
01/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
02/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
03/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
04/10/2024,4,0,0,0,5,350000,315000,280000,245000,210000
05/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
06/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
07/10/2024,2,0,0,1,1,350000,315000,280000,245000,210000
08/10/2024,0,1,0,0,0,350000,315000,280000,245000,210000
09/10/2024,0,0,1,0,0,350000,315000,280000,245000,210000
10/10/2024,0,0,0,2,0,350000,315000,280000,245000,210000
11/10/2024,2,0,1,0,0,350000,315000,280000,245000,210000
12/10/2024,2,0,0,2,0,350000,315000,280000,245000,210000
13/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
14/10/2024,0,0,2,0,0,350000,315000,280000,245000,210000
15/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
16/10/2024,3,0,0,0,2,350000,315000,280000,245000,210000
17/10/2024,0,4,0,0,1,350000,315000,280000,245000,210000
18/10/2024,0,0,0,0,0,350000,315000,280000,245000,210000
19/10/2024,0,0,0,6,0,350000,315000,280000,245000,210000
20/10/2024,0,3,0,0,0,350000,315000,280000,245000,210000
21/10/2024,4,2,1,2,4,0,0,0,0,0
,0,0,0,0,0,350000,315000,280000,245000,210000
,0,0,0,0,0,350000,315000,280000,245000,210000
